method_name,collection,contrast,Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,TNFA_SIGNALING_VIA_NFKB,TNFA_SIGNALING_VIA_NFKB,136,-0.6132382987583382,-2.08634709536433,2.1167744193111883e-9,1.0583872096555941e-7,6.461732437897311e-8,1618,"tags=44%, list=21%, signal=36%",F3/IL18/NR4A1/IRS2/PPP1R15A/EFNA1/RELA/TNFAIP2/PHLDA1/TNC/SIK1/CEBPB/LIF/MYC/FUT4/EGR1/TSC22D1/DUSP5/CXCL6/NFE2L2/DUSP1/SDC4/BIRC3/VEGFA/PHLDA2/EDN1/B4GALT1/LDLR/TRIP10/MAP2K3/NAMPT/KLF4/BHLHE40/MCL1/PMEPA1/LAMB3/CFLAR/IER3/ETS2/CCND1/SAT1/B4GALT5/TLR2/PFKFB3/NFKB2/MAFF/TNIP1/KLF2/TGIF1/RHOB/RELB/FOS/ZFP36/IFNGR2/BMP2/F2RL1/KLF6/JUNB/HES1/FOSL2
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,UNFOLDED_PROTEIN_RESPONSE,UNFOLDED_PROTEIN_RESPONSE,87,0.6521070904353026,2.0213625565620874,4.418719293806085e-7,1.1046798234515214e-5,6.744361027388236e-6,570,"tags=29%, list=7%, signal=27%",SERP1/SRPRA/XBP1/HERPUD1/DNAJB9/SPCS1/PSAT1/SRPRB/NPM1/SPCS3/EIF4EBP1/SSR1/HYOU1/RPS14/EIF2AK3/DNAJC3/ATF4/SEC31A/TSPYL2/HSPA5/WIPI1/EIF4A2/SLC1A4/CALR/PREB
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,INTERFERON_GAMMA_RESPONSE,INTERFERON_GAMMA_RESPONSE,110,-0.5744596996036013,-1.9158570616600803,5.2753882593231695e-6,8.792313765538616e-5,5.367938930539365e-5,1545,"tags=38%, list=20%, signal=31%",PTPN6/TRIM21/CFH/BST2/PLSCR1/ISG20/TNFAIP2/HLA-DMA/VAMP8/STAT3/TRIM14/PSME2/IFI35/UPP1/HLA-DRB1/HIF1A/SRI/TNFSF10/NMI/XAF1/NAMPT/PSMB8/PSMB9/IDO1/PML/CXCL9/CD74/MVP/IRF8/CASP1/TAPBP/PFKP/CIITA/CFB/NCOA3/B2M/LY6E/IFI27/HLA-B/RBCK1/HLA-A/LGALS3BP
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,MYC_TARGETS_V1,MYC_TARGETS_V1,174,0.5231667236023239,1.7590826990034842,7.828069994906766e-6,9.785087493633457e-5,5.97405341716569e-5,990,"tags=20%, list=13%, signal=17%",PABPC4/RPL14/PRDX4/IFRD1/NPM1/CANX/RPL34/EEF1B2/RPS5/EIF3D/RPLP0/RPL6/RPS2/RPL22/RACK1/RPL18/PHB2/RSL1D1/YWHAQ/RPS6/IMPDH2/CNBP/SRM/RPS10/RAD23B/SERBP1/EIF3J/RPS3/HSPD1/AP3S1/SET/HSP90AB1/PRPF31/PPM1G
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,KRAS_SIGNALING_UP,KRAS_SIGNALING_UP,102,-0.5671965144377684,-1.8628951515855134,1.5351219155505967e-5,1.5351219155505967e-4,9.372323273887854e-5,1566,"tags=42%, list=20%, signal=34%",PPP1R15A/ANO1/CFH/ADAM17/ETS1/IL33/CA2/LIF/SEMA3B/USP12/TMEM176A/TMEM176B/EREG/CCSER2/BIRC3/H2BC3/PLEK2/GLRX/KLF4/PSMB8/GALNT3/PRDM1/ST6GAL1/ANXA10/IRF8/MALL/ADAM8/TSPAN1/DUSP6/KCNN4/CFB/TFPI/SOX9/HKDC1/EMP1/JUP/BMP2/F2RL1/USH1C/PIGR/MPZL2/CTSS/SLPI
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,ESTROGEN_RESPONSE_EARLY,ESTROGEN_RESPONSE_EARLY,125,-0.5352706580519464,-1.8166737925973724,2.634309599324292e-5,1.881649713803066e-4,1.1487966673745032e-4,1355,"tags=38%, list=17%, signal=32%",PLAAT3/SCARB1/SEMA3B/MYC/PRSS23/ABLIM1/UGCG/SLC19A2/PDZK1/WWC1/CHPT1/TMPRSS3/B4GALT1/SFN/TFF1/ELOVL5/ABHD2/KLF4/FLNB/TGM2/BHLHE40/RAPGEFL1/DHCR7/TTC39A/KCNK5/SCNN1A/CCND1/CLDN7/ELF1/ALDH3B1/TJP3/TFF3/FHL2/KRT8/MUC1/CELSR2/KRT18/DYNLT3/SLC37A1/CANT1/FOS/HES1/NBL1/LAD1/MLPH/SLC2A1/ELF3/KRT19
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,MITOTIC_SPINDLE,MITOTIC_SPINDLE,115,-0.5390125747381733,-1.8049682781893293,2.38740926656796e-5,1.881649713803066e-4,1.1487966673745032e-4,1384,"tags=30%, list=18%, signal=25%",CDC42BPA/SYNPO/CYTH2/RHOF/TUBA4A/MAPRE1/STK38L/ARHGEF2/ACTN4/SOS1/AKAP13/KLC1/ARF6/ARHGAP27/GSN/NET1/MYH9/FLNB/DYNC1H1/CAPZB/CDC42/BCAR1/EZR/TRIO/SPTAN1/ITSN1/CD2AP/DST/PXN/ABR/CSNK1D/RASA2/SEPTIN9/SPTBN1/CTTN
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,COAGULATION,COAGULATION,82,-0.5380457666983097,-1.697554617571869,3.607044757182911e-4,0.0022544029732393194,0.0013763723415566372,1618,"tags=45%, list=21%, signal=36%",F3/S100A13/CFH/MMP1/GNB2/ANXA1/SERPINA1/SPARC/F12/ANG/PRSS23/FN1/THBS1/CTSB/MMP7/MMP15/LRP1/LGMN/HMGCS2/CD9/GSN/CRIP2/CTSO/CAPN5/GNG12/MAFF/TFPI2/DUSP6/CTSE/C9/ADAM9/CFB/GDA/MMP14/CAPN2/TIMP1/CTSH
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,INTERFERON_ALPHA_RESPONSE,INTERFERON_ALPHA_RESPONSE,59,-0.6012685773780656,-1.817501769798427,4.789596383075197e-4,0.0026608868794862203,0.0016245414632652714,1966,"tags=47%, list=25%, signal=36%",OGFR/TAP1/TRIM26/PSMA3/UBE2L6/UBA7/PSME1/NUB1/TRIM21/BST2/PLSCR1/ISG20/TRIM14/PSME2/IFI35/CD47/NMI/PSMB8/PSMB9/CD74/CASP1/ELF1/GBP2/B2M/LY6E/IFI27/HLA-C/LGALS3BP
limma_trend_Q3,Hallmark,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,OXIDATIVE_PHOSPHORYLATION,OXIDATIVE_PHOSPHORYLATION,175,0.46388786564243245,1.562573041021656,6.948213386792422e-4,0.003474106693396211,0.0021210335601787394,1755,"tags=26%, list=23%, signal=21%",SLC25A5/ATP5MC2/ATP5F1D/ACAT1/SLC25A6/IDH2/ATP5PO/ATP5F1A/PHB2/CS/LDHB/UQCRB/LRPPRC/SURF1/CYB5A/MPC1/ATP5PF/FDX1/ATP6V0B/COX7A2L/TIMM13/OXA1L/ETFDH/NDUFS4/NDUFA1/ACADVL/ATP5F1C/TIMM9/PDHB/AIFM1/ACADM/UQCRC1/NQO2/NDUFA9/ATP6V1C1/COX5A/MRPS15/NDUFAB1/TCIRG1/NDUFB1/HADHA/SLC25A3/ISCU/DLST/HSD17B10/NDUFV2
