method_name,collection,contrast,Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,TRANSLATION,TRANSLATION,291,0.7596046587577402,2.69727194383065,7.340065389842813e-41,9.094341018015246e-38,7.672299928540962e-38,747,"tags=40%, list=10%, signal=38%",EIF3L/EEF1D/SSR3/SRPRA/SSR4/SEC61B/RPL14/RPL5/RPL17/SEC61A1/PSMD6/RPS25/RPL35A/RPL4/RPL8/SPCS1/EIF3F/RPL36A/SSR2/RPS17/SRPRB/RPSA/RPL36AL/RPL34/SPCS3/EIF4B/RPL9/RPS4X/EEF1B2/EIF3E/RPS28/RPS5/RPL7A/RPL32/EIF3D/RPL7/RPLP0/RPL15/EIF4EBP1/EIF3G/RPL6/RPS2/RPL22/SSR1/RPS13/RPS3A/SEC61G/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/SEC11C/DDOST/RPL13/RPS12/EIF3A/EEF1G/RPL29/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/SARS1/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/EIF5B/RPS27/EIF4A2/RPL36/UBA52/RPS26/MRPL19/DARS2/MRPL20/TRMT112/RPL13A/RPS23/RPL37/EIF3M/RPL27A/RPS10/RPS29/EIF2B4/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/OXA1L/DAP3/MRPL50/SEC11A/EIF3J/SRP72/RPL23/RPS3/LTN1/PTCD3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,104,0.8984950011943766,2.8209820498651106,2.296700387672827e-35,1.4228058901633163e-32,1.2003281499784828e-32,722,"tags=87%, list=9%, signal=80%",SSR3/SRPRA/SSR4/SEC61B/RPL14/RPL5/RPL17/SEC61A1/RPS25/RPL35A/RPL4/RPL8/SPCS1/RPL36A/SSR2/RPS17/SRPRB/RPSA/RPL36AL/RPL34/SPCS3/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/SSR1/RPS13/RPS3A/SEC61G/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/SEC11C/DDOST/RPL13/RPS12/RPL29/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/RPS10/RPS29/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/SEC11A/SRP72/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,EUKARYOTIC_TRANSLATION_INITIATION,EUKARYOTIC_TRANSLATION_INITIATION,112,0.8818630311687088,2.7969347703564127,2.475030739499744e-34,1.0221876954133942e-31,8.623528155520161e-32,722,"tags=79%, list=9%, signal=72%",EIF3L/RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/EIF3F/RPL36A/RPS17/RPSA/RPL36AL/RPL34/EIF4B/RPL9/RPS4X/EIF3E/RPS28/RPS5/RPL7A/RPL32/EIF3D/RPL7/RPLP0/RPL15/EIF4EBP1/EIF3G/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/RPL13/RPS12/EIF3A/RPL29/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/EIF5B/RPS27/EIF4A2/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/EIF3M/RPL27A/RPS10/RPS29/EIF2B4/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/EIF3J/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,115,0.862698720889128,2.7467619202712656,1.242512539250825e-31,3.8486825903294306e-29,3.246881451252814e-29,722,"tags=70%, list=9%, signal=65%",RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/RPL34/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/POLR2L/RPL13/RPS12/RPL29/DNAJC3/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/PARP1/RPS10/POLR2J/RPS29/RPS27L/GTF2F1/RANBP2/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,INFLUENZA_INFECTION,INFLUENZA_INFECTION,131,0.8478990708517521,2.7583339611434576,2.608095453831276e-31,6.462860534593902e-29,5.452292180325173e-29,722,"tags=65%, list=9%, signal=60%",RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/CANX/RPL34/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/POLR2L/RPL13/SLC25A6/RPS12/RPL29/DNAJC3/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/PARP1/RPS10/POLR2J/KPNA3/RPS29/CALR/RPS27L/GTF2F1/RANBP2/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,EUKARYOTIC_TRANSLATION_ELONGATION,EUKARYOTIC_TRANSLATION_ELONGATION,85,0.9091421812122411,2.782873924446803,6.279342384751862e-31,1.2966842024512595e-28,1.0939275417646665e-28,722,"tags=92%, list=9%, signal=84%",EEF1D/RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/RPL34/RPL9/RPS4X/EEF1B2/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/RPL13/RPS12/EEF1G/RPL29/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/RPS10/RPS29/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,91,0.8857608023330318,2.7086516614472806,1.0170149907929069e-29,1.8001165337034453e-27,1.5186404298606868e-27,722,"tags=84%, list=9%, signal=77%",RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/RPL34/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/RPL13/RPS12/RPL29/RPS11/RPL11/RPS15A/RPL35/ATF4/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/RPS10/RPS29/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,RIBOSOME_ASSOCIATED_QUALITY_CONTROL,RIBOSOME_ASSOCIATED_QUALITY_CONTROL,132,0.8238347287969888,2.6802488750142897,3.5476924027669734e-27,5.49448860878535e-25,4.6353402051942165e-25,737,"tags=58%, list=9%, signal=54%",RPL14/RPL5/RPL17/PSMD6/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/RPL34/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/RPL13/RPS12/RPL29/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/RPS10/RPS29/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3/LTN1
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,NONSENSE_MEDIATED_DECAY_NMD,NONSENSE_MEDIATED_DECAY_NMD,101,0.8554441425614977,2.6772324070956013,2.7903527904170106e-26,3.841385674807418e-24,3.240725521501862e-24,722,"tags=74%, list=9%, signal=68%",RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/RPL34/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/RPL13/RPS12/RPL29/RPS11/RPL11/RPS15A/RPL35/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/RPS10/RPS29/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3
limma_trend_Q3,Reactome,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,Acinar_Healthy - (Acinar_Tumor + ADM_Healthy + Duct_Healthy + Duct_Tumor + Glandular_Tumor_Tumor + PanIN_Healthy + PanIN_Tumor + PoorlyDiffTumor_Tumor)/8,CELLULAR_RESPONSE_TO_STARVATION,CELLULAR_RESPONSE_TO_STARVATION,120,0.8301456050355197,2.651260133303852,3.7685373073239475e-26,4.6692177237743714e-24,3.939113206497558e-24,722,"tags=64%, list=9%, signal=59%",RPL14/RPL5/RPL17/RPS25/RPL35A/RPL4/RPL8/RPL36A/RPS17/RPSA/RPL36AL/RPL34/RPL9/RPS4X/RPS28/RPS5/RPL7A/RPL32/RPL7/RPLP0/RPL15/RPL6/RPS2/RPL22/RPS13/RPS3A/RPS16/RPL21/RPL41/RPL27/RPS14/RPL18/RPL13/RPS12/RPL29/RPS11/RPL11/RPS15A/RPL35/ATF4/RPS9/RPLP2/RPS27A/RPS20/RPL24/RPL12/RPS8/RPS15/RPL18A/RPS7/RPS6/RPL39/FAU/RPL30/RPL38/RPL37A/RPL31/RPL26/RPS27/RPL36/UBA52/RPS26/RPL13A/RPS23/RPL37/RPL27A/ATP6V0B/RPS10/RPS29/RPS27L/RPS18/RPL19/RPS21/RPL10A/RPS24/RPL23/RPS3
