sample_id,segment,cell_type,disease_status,patient_id,slide_name,modelled_genes,mean_abs_residual,median_abs_residual,max_abs_residual,fraction_abs_residual_gt_1,fraction_abs_residual_gt_2
GSM7084877_DSP-1001660007414-H-E02.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6916,0.5923681717538083,0.4940226114591364,3.0155259308887254,0.16122035858877964,0.01735106998264893
GSM7084878_DSP-1001660007414-H-E03.dcc,Panck,PanIN,healthy,Donor_8,4895-EC-S7,6911,0.6646443710091703,0.5534880581574733,3.371629694356387,0.2164665026768919,0.027203009694689625
GSM7084879_DSP-1001660007414-H-E04.dcc,Panck,Duct,healthy,Donor_8,4895-EC-S7,6851,0.8419120679572422,0.7200357020334804,3.095367347258404,0.3387826594657714,0.058823529411764705
GSM7084880_DSP-1001660007414-H-E05.dcc,Panck,Duct,healthy,Donor_8,4895-EC-S7,6876,0.7646391948798409,0.6426845480993362,2.9822717179670972,0.2947934845840605,0.041884816753926704
GSM7084881_DSP-1001660007414-H-E06.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6928,0.6386469065990992,0.5410338792588778,3.219346873410503,0.19630484988452657,0.019630484988452657
GSM7084882_DSP-1001660007414-H-E07.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6921,0.7299226116510252,0.6280031644150998,3.557406608374264,0.2665799739921977,0.029475509319462505
GSM7084883_DSP-1001660007414-H-E08.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6930,0.6440838886877265,0.5423256834187238,3.331532686819716,0.2064935064935065,0.01847041847041847
GSM7084884_DSP-1001660007414-H-E09.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6929,0.616644086532219,0.5130548569847733,2.99292436775439,0.18631837205946025,0.01818444219945158
GSM7084885_DSP-1001660007414-H-E10.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6935,0.5951355905497344,0.5035935974947199,3.2761412336790983,0.16380677721701514,0.014852198990627253
GSM7084886_DSP-1001660007414-H-E11.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6911,0.6524726872718538,0.5516728965846891,3.0193226488046205,0.20416726957025033,0.02691361597453335
GSM7084887_DSP-1001660007414-H-E12.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6933,0.616140184324696,0.5150394339608422,3.0731896570504347,0.17611423626135872,0.02120294244915621
GSM7084888_DSP-1001660007414-H-F01.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6927,0.6032473557619559,0.4994509088078303,3.001735076527173,0.1686155622924787,0.01920023098022232
GSM7084889_DSP-1001660007414-H-F02.dcc,Panck,ADM,healthy,Donor_8,4895-EC-S7,6936,0.5818839279087816,0.49140574154379424,3.180810754060417,0.15340253748558247,0.015570934256055362
GSM7084890_DSP-1001660007414-H-F03.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,6888,0.7194969504550665,0.6205782992925051,2.963628308151218,0.25885598141695704,0.030197444831591175
GSM7084891_DSP-1001660007414-H-F04.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,6893,0.713653638383367,0.6075108402462313,3.005470505902802,0.25649209342811546,0.029305092122443057
GSM7084892_DSP-1001660007414-H-F05.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,6900,0.6912771601034619,0.5924109673790499,2.9942673317016277,0.23391304347826086,0.025362318840579712
GSM7084893_DSP-1001660007414-H-F06.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,6894,0.7048089981208678,0.594533538222771,3.009676049249445,0.25558456628952714,0.02944589498114302
GSM7084894_DSP-1001660007414-H-F07.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,6902,0.7069256583225575,0.5990439393148765,2.9769993133257033,0.2536945812807882,0.026948710518690234
GSM7084895_DSP-1001660007414-H-F08.dcc,Panck Cd45 Negative,Acinar,healthy,Donor_8,4895-EC-S7,6872,0.7884009193989127,0.6737532146879062,3.0051553635163524,0.30762514551804426,0.04452852153667055
GSM7084896_DSP-1001660009838-F-A02.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6899,0.6187571211271429,0.5134184218382902,3.426361959998956,0.17408320046383532,0.021452384403536744
GSM7084897_DSP-1001660009838-F-A03.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6893,0.6134675946772739,0.511048573918794,3.461759947620635,0.17510517916727114,0.023647178296822863
GSM7084898_DSP-1001660009838-F-A04.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6899,0.6196621878556866,0.5215864816756275,3.290574772235371,0.18596898101174084,0.020727641687201044
GSM7084899_DSP-1001660009838-F-A05.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6917,0.5663770080004343,0.478052743942877,3.0790271133508895,0.14384848922943472,0.013300563828249241
GSM7084900_DSP-1001660009838-F-A06.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6906,0.633701151815071,0.5294203762283938,2.9965851550676277,0.18838690993339124,0.022589052997393572
GSM7084901_DSP-1001660009838-F-A07.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6906,0.6191879666213082,0.5157917831058363,3.018105163861442,0.1765131769475818,0.022154648132059078
GSM7084902_DSP-1001660009838-F-A08.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6909,0.6088776970757636,0.5031760306204625,3.007726442870907,0.17498914459400783,0.021710811984368215
GSM7084903_DSP-1001660009838-F-A09.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6903,0.6003340912223184,0.4962788493428949,3.080124470326214,0.1670288280457772,0.021150224540055048
GSM7084904_DSP-1001660009838-F-A10.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6909,0.5728333281398873,0.4710231283250135,3.0497553496295087,0.14937038645245332,0.016355478361557388
GSM7084905_DSP-1001660009838-F-A11.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6902,0.6202184131032503,0.5212722083654118,3.0406559684999195,0.176180817154448,0.023616343088959723
GSM7084906_DSP-1001660009838-F-A12.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6921,0.5709732657369764,0.48265971385852247,3.032661145173148,0.1440543274093339,0.012859413379569426
GSM7084907_DSP-1001660009838-F-B01.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6906,0.5765844476832058,0.48225638179026875,3.338277489644109,0.14842166232261803,0.018245004344048653
GSM7084908_DSP-1001660009838-F-B02.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6915,0.577676191660367,0.4807678417207324,2.953132556388211,0.1505422993492408,0.014461315979754157
GSM7084909_DSP-1001660009838-F-B03.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6900,0.584232123056458,0.48699700807490753,3.04644182876459,0.15695652173913044,0.0163768115942029
GSM7084910_DSP-1001660009838-F-B04.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6914,0.608027013464669,0.5158654433552803,3.045145533081091,0.17486259762800116,0.017789991321955453
GSM7084911_DSP-1001660009838-F-B05.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6918,0.5670157011328825,0.4769825360292024,2.9850271687529775,0.14700780572419775,0.0132986412257878
GSM7084912_DSP-1001660009838-F-B06.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6916,0.5457736247820028,0.4523784443392862,2.9844008598647322,0.12810873337189127,0.012290341237709659
GSM7084913_DSP-1001660009838-F-B07.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6918,0.5547354027079534,0.4599948772303115,3.0688585565449795,0.13183000867302688,0.015755998843596415
GSM7084914_DSP-1001660009838-F-B08.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6913,0.5665434610168105,0.47797300902535245,2.988923728973381,0.14436568783451467,0.013886879791696803
GSM7084915_DSP-1001660009838-F-B09.dcc,Panck,PanIN,healthy,Donor_5,4895-EC-S6,6914,0.5862920216299599,0.5009305209702388,2.9963527602802094,0.15620480185131616,0.014752675730402082
GSM7084916_DSP-1001660009838-F-B10.dcc,Panck,ADM,healthy,Donor_5,4895-EC-S6,6931,0.630418549445228,0.5341522978568047,2.998540870847652,0.1892944741018612,0.016880680998412927
GSM7084917_DSP-1001660009838-F-B11.dcc,Panck,ADM,healthy,Donor_5,4895-EC-S6,6925,0.6815783871802129,0.5904249734012286,2.9960161161109244,0.23249097472924188,0.020938628158844765
GSM7084918_DSP-1001660009838-F-B12.dcc,Panck,ADM,healthy,Donor_5,4895-EC-S6,6930,0.6574277953183058,0.554791828465774,2.9937799120557855,0.21284271284271283,0.020346320346320345
